dataset,prevalencia_real,prev_dyssyn,erro_dyssyn,n_amostras
1466_cardiotocography.csv,0.49,0.5062840756693286,0.016284075669328657,100
1466_cardiotocography.csv,0.54,0.5873513568371406,0.047351356837140535,100
1466_cardiotocography.csv,0.6,0.6265311122475468,0.026531112247546784,100
1466_cardiotocography.csv,0.65,0.6700304910769506,0.02003049107695054,100
1466_cardiotocography.csv,0.7,0.7240062763150699,0.024006276315069908,100
1466_cardiotocography.csv,0.75,0.7533975000497675,0.0033975000497674657,100
1466_cardiotocography.csv,0.8,0.8114064380104833,0.011406438010483244,100
1466_cardiotocography.csv,0.85,0.8639504001502162,0.013950400150216202,100
1466_cardiotocography.csv,0.9,0.9064173655726051,0.006417365572605083,100
1466_cardiotocography.csv,0.95,0.9483257131040832,0.0016742868959167545,100
1475_first-order-theorem-proving.csv,0.05,0.07597813076977375,0.025978130769773747,100
1475_first-order-theorem-proving.csv,0.1,0.15218304895278362,0.05218304895278361,100
1475_first-order-theorem-proving.csv,0.15,0.17822744369863858,0.028227443698638582,100
1475_first-order-theorem-proving.csv,0.2,0.2602602091546645,0.06026020915466451,100
1475_first-order-theorem-proving.csv,0.25,0.23510814221255172,0.014891857787448282,100
1475_first-order-theorem-proving.csv,0.3,0.28028196129311483,0.019718038706885155,100
1475_first-order-theorem-proving.csv,0.35,0.30771115678209715,0.04228884321790283,100
1475_first-order-theorem-proving.csv,0.4,0.3241935469810881,0.07580645301891192,100
1475_first-order-theorem-proving.csv,0.44,0.3504468411739878,0.08955315882601222,100
1475_first-order-theorem-proving.csv,0.49,0.48032020449506385,0.00967979550493614,100
1475_first-order-theorem-proving.csv,0.54,0.47271180978262006,0.06728819021737997,100
1475_first-order-theorem-proving.csv,0.6,0.5153025336668028,0.08469746633319719,100
1475_first-order-theorem-proving.csv,0.65,0.5752778281740737,0.07472217182592633,100
1475_first-order-theorem-proving.csv,0.7,0.5951237584186149,0.10487624158138509,100
1475_first-order-theorem-proving.csv,0.75,0.6046766711118716,0.14532332888812838,100
1475_first-order-theorem-proving.csv,0.8,0.7598102532998932,0.04018974670010689,100
1475_first-order-theorem-proving.csv,0.85,0.7671229037603697,0.08287709623963024,100
1475_first-order-theorem-proving.csv,0.9,0.8276601127542675,0.07233988724573248,100
1475_first-order-theorem-proving.csv,0.95,0.9947233693381775,0.044723369338177554,100
1479_hill-valley.csv,0.05,0.15722819968933155,0.10722819968933155,100
1479_hill-valley.csv,0.1,0.4678873531872608,0.36788735318726085,100
1479_hill-valley.csv,0.15,0.22292664914753213,0.07292664914753214,100
1479_hill-valley.csv,0.2,4.4552394047661854e-05,0.19995544760595235,100
1479_hill-valley.csv,0.25,0.3537495266778559,0.10374952667785592,100
1479_hill-valley.csv,0.3,0.9899667812817778,0.6899667812817778,100
1479_hill-valley.csv,0.35,0.36571232340973137,0.015712323409731388,100
1479_hill-valley.csv,0.4,4.4552394047661854e-05,0.39995544760595236,100
1479_hill-valley.csv,0.44,0.5190364832994785,0.07903648329947849,100
1479_hill-valley.csv,0.49,0.13961786618820143,0.35038213381179856,100
1479_hill-valley.csv,0.54,0.5494920662500905,0.00949206625009047,100
1479_hill-valley.csv,0.6,4.4552394047661854e-05,0.5999554476059523,100
1479_hill-valley.csv,0.65,0.4260206059931498,0.22397939400685024,100
1479_hill-valley.csv,0.7,0.15633001646401906,0.5436699835359808,100
1479_hill-valley.csv,0.75,0.8891854839619244,0.13918548396192443,100
