arquivo_moss,dataset,prevalencia_real,prev_moss,erro_moss,erro_dys,n_amostras,var_scores,entropy,prev_dyssyn,erro_dyssyn
moss_5_95.pkl,1479_hill-valley.csv,0.8,0.012260333,0.787739667,0.377,100,0.045616377,2.842427897,0.482953005,0.317046995
moss_5_95.pkl,1479_hill-valley.csv,0.85,0.512731667,0.337268333,0.369,100,0.038026021,2.838627742,0.326975961,0.523024039
moss_5_95.pkl,1479_hill-valley.csv,0.9,0.987572333,0.087572333,0.286,100,0.046225612,2.79803177,0.388692167,0.511307833
moss_5_95.pkl,1479_hill-valley.csv,0.95,0.988912,0.038912,0.134,100,0.04023956,2.724914779,0.591770767,0.358229233
moss_5_95.pkl,1485_madelon.csv,0.05,0.010251,0.039749,0.387,100,0.005704012,2.773646507,0.017292806,0.032707194
moss_5_95.pkl,1485_madelon.csv,0.1,0.010251,0.089749,0.026,100,0.009063062,2.75797794,4.46E-05,0.099955448
moss_5_95.pkl,1485_madelon.csv,0.15,0.010334667,0.139665333,0.181,100,0.008451639,2.7558117,4.46E-05,0.149955448
moss_5_95.pkl,1485_madelon.csv,0.2,0.010167333,0.189832667,0.033,100,0.00660604,2.6735532,0.856140492,0.656140492
moss_5_95.pkl,1485_madelon.csv,0.25,0.010502333,0.239497667,0.596,100,0.008318101,2.588482327,0.575030702,0.325030702
moss_5_95.pkl,1485_madelon.csv,0.3,0.010251,0.289749,0.187,100,0.008633354,2.728114291,0.524020629,0.224020629
moss_5_95.pkl,1485_madelon.csv,0.35,0.010083667,0.339916333,0.246,100,0.008141532,2.491983645,0.277153913,0.072846087
moss_5_95.pkl,1485_madelon.csv,0.4,0.010167333,0.389832667,0.089,100,0.007434101,2.683922369,0.999955448,0.599955448
moss_5_95.pkl,1485_madelon.csv,0.44,0.010167333,0.429832667,0.199,100,0.008835568,2.652693453,0.999955448,0.559955448
moss_5_95.pkl,1485_madelon.csv,0.49,0.196367333,0.293632667,0.02,100,0.008665177,2.623265846,0.999955448,0.509955448
moss_5_95.pkl,1485_madelon.csv,0.54,0.196451,0.343549,0.325,100,0.010152271,2.788427469,0.99337616,0.45337616
moss_5_95.pkl,1485_madelon.csv,0.6,0.196534667,0.403465333,0.4,100,0.010065707,2.735546483,0.926906397,0.326906397
moss_5_95.pkl,1485_madelon.csv,0.65,0.196534667,0.453465333,0.038,100,0.008796333,2.823550605,0.675552713,0.025552713
moss_5_95.pkl,1485_madelon.csv,0.7,0.487100667,0.212899333,0.3,100,0.010323568,2.765684249,4.46E-05,0.699955448
moss_5_95.pkl,1485_madelon.csv,0.75,0.196451,0.553549,0.034,100,0.01003659,2.633989599,0.999955448,0.249955448
moss_5_95.pkl,1485_madelon.csv,0.8,0.487100667,0.312899333,0.07,100,0.010589293,2.817117736,0.999955448,0.199955448
moss_5_95.pkl,1485_madelon.csv,0.85,0.487017,0.362983,0.538,100,0.009291977,2.851058359,0.999955448,0.149955448
moss_5_95.pkl,1485_madelon.csv,0.9,0.206251,0.693749,0.1,100,0.009718907,2.85508898,0.999955448,0.099955448
moss_5_95.pkl,1485_madelon.csv,0.95,0.99,0.04,0.05,100,0.010521049,2.816846715,0.999955448,0.049955448
moss_5_95.pkl,1489_phoneme.csv,0.05,0.212690333,0.162690333,0.03,100,0.082394234,2.711113455,0.194591947,0.144591947
moss_5_95.pkl,1489_phoneme.csv,0.1,0.191004,0.091004,0.018,100,0.082545538,2.651482251,0.136755564,0.036755564
moss_5_95.pkl,1489_phoneme.csv,0.15,0.262137333,0.112137333,0.024,100,0.091171701,2.775305781,0.308282071,0.158282071
moss_5_95.pkl,1489_phoneme.csv,0.2,0.292015,0.092015,0.022,100,0.107731316,2.677202783,0.310075724,0.110075724
moss_5_95.pkl,1489_phoneme.csv,0.25,0.320763,0.070763,0.035,100,0.105668323,2.743410705,0.395132589,0.145132589
moss_5_95.pkl,1489_phoneme.csv,0.3,0.483903,0.183903,0.02,100,0.107067138,2.768600536,0.467706011,0.167706011
moss_5_95.pkl,1489_phoneme.csv,0.35,0.477884,0.127884,0.035,100,0.118735194,2.62936169,0.417492027,0.067492027
moss_5_95.pkl,1489_phoneme.csv,0.4,0.446735333,0.046735333,0.027,100,0.135435778,2.447272027,0.469331158,0.069331158
moss_5_95.pkl,1489_phoneme.csv,0.44,0.509288,0.069288,0.052,100,0.110246901,2.731268963,0.438300378,0.001699622
moss_5_95.pkl,1489_phoneme.csv,0.49,0.593041333,0.103041333,0.006,100,0.12752675,2.594429515,0.538444403,0.048444403
moss_5_95.pkl,1489_phoneme.csv,0.54,0.641220667,0.101220667,0.073,100,0.126305889,2.543025304,0.692479931,0.152479931
moss_5_95.pkl,1489_phoneme.csv,0.6,0.793069,0.193069,0.014,100,0.111959221,2.607875089,0.662627879,0.062627879
moss_5_95.pkl,1489_phoneme.csv,0.65,0.692245667,0.042245667,0.035,100,0.117156377,2.475596432,0.689674604,0.039674604
moss_5_95.pkl,1489_phoneme.csv,0.7,0.771058,0.071058,0.014,100,0.119906827,2.252680607,0.758683241,0.058683241
moss_5_95.pkl,1489_phoneme.csv,0.75,0.834624667,0.084624667,0.058,100,0.092730723,2.067965368,0.730067655,0.019932345
moss_5_95.pkl,1489_phoneme.csv,0.8,0.826168333,0.026168333,0.016,100,0.083276972,2.29934321,0.870110997,0.070110997
moss_5_95.pkl,1489_phoneme.csv,0.85,0.840987,0.009013,0.062,100,0.077615132,2.087526002,0.833381344,0.016618656
moss_5_95.pkl,1489_phoneme.csv,0.9,0.875513333,0.024486667,0.055,100,0.070798329,1.612997297,0.905274884,0.005274884
moss_5_95.pkl,1489_phoneme.csv,0.95,0.915687667,0.034312333,0.018,100,0.054409434,1.864935147,0.898345773,0.051654227
moss_5_95.pkl,1494_qsar-biodeg.csv,0.05,0.260544667,0.210544667,0.108,100,0.084214821,2.779115395,0.347736188,0.297736188
