Dataset,Prev_Real,Prev_Alvo,Regressor,DySsyn,Erro_Regressor,Erro_DySsyn,Tempo_Regressor,Tempo_DySsyn,Tempo_Médio_Regressor,Tempo_Médio_DySsyn
semeion,0.495,0.49999999999999994,0.3330999999999993,0.2671144878399614,0.1619000000000007,0.2278855121600386,0.01057890005176887,0.11893359996611252,0.010334381579396952,0.11626681578988944
semeion,0.545,0.5499999999999999,0.30244333333333284,0.18708456718213895,0.2425566666666672,0.3579154328178611,0.010639100044500083,0.11944149999180809,0.010334381579396952,0.11626681578988944
semeion,0.6,0.6,0.38279666666666595,0.3004721636602232,0.21720333333333403,0.29952783633977675,0.011990300030447543,0.11138199997367337,0.010334381579396952,0.11626681578988944
semeion,0.65,0.65,0.3771699999999994,0.29271918874377956,0.2728300000000006,0.35728081125622047,0.008859499997925013,0.10948469996219501,0.010334381579396952,0.11626681578988944
semeion,0.7,0.7,0.40655333333333277,0.30718825351270085,0.2934466666666672,0.3928117464872991,0.009274400013964623,0.1106973999994807,0.010334381579396952,0.11626681578988944
semeion,0.75,0.75,0.8196533333333331,0.2700492952199811,0.06965333333333312,0.4799507047800189,0.00881259999005124,0.11092429998097941,0.010334381579396952,0.11626681578988944
semeion,0.8,0.7999999999999999,0.8775933333333322,0.46534051384119834,0.07759333333333218,0.3346594861588017,0.00867330003529787,0.110627599991858,0.010334381579396952,0.11626681578988944
semeion,0.85,0.85,0.8628333333333325,0.4517146662335106,0.012833333333332475,0.3982853337664894,0.009226399997714907,0.10967169998912141,0.010334381579396952,0.11626681578988944
semeion,0.9,0.9,0.7955599999999995,0.5655956152367453,0.10444000000000053,0.33440438476325474,0.008725500025320798,0.11043179995613173,0.010334381579396952,0.11626681578988944
semeion,0.95,0.95,0.8605166666666655,0.5992335944027067,0.08948333333333447,0.3507664055972932,0.009532500000204891,0.11177720001433045,0.010334381579396952,0.11626681578988944
semeion,0.05,0.05,0.03707333333333327,4.4552394047661854e-05,0.012926666666666732,0.049955447605952344,0.009897599986288697,0.11356179998256266,0.010334381579396952,0.11626681578988944
semeion,0.1,0.1,0.034453333333333246,4.4552394047661854e-05,0.06554666666666675,0.09995544760595235,0.010747199994511902,0.1169013999751769,0.010334381579396952,0.11626681578988944
semeion,0.15,0.15,0.0330799999999999,4.4552394047661854e-05,0.1169200000000001,0.14995544760595234,0.010771500004921108,0.11704830004600808,0.010334381579396952,0.11626681578988944
semeion,0.2,0.2,0.034893333333333255,0.03214503497445195,0.16510666666666676,0.16785496502554806,0.011075199989136308,0.11679890000959858,0.010334381579396952,0.11626681578988944
semeion,0.25,0.25,0.11665333333333329,0.11880344500107648,0.13334666666666672,0.13119655499892352,0.011194400023669004,0.11748289997922257,0.010334381579396952,0.11626681578988944
semeion,0.3,0.3,0.11845333333333334,0.11449590776839813,0.18154666666666663,0.18550409223160186,0.010807399987243116,0.11670190002769232,0.010334381579396952,0.11626681578988944
semeion,0.35,0.35,0.13067333333333353,0.13977519182968223,0.21932666666666645,0.21022480817031775,0.011166999989654869,0.11863979999907315,0.010334381579396952,0.11626681578988944
semeion,0.4,0.39999999999999997,0.15729333333333373,0.18363012576586157,0.2427066666666663,0.21636987423413845,0.010682899970561266,0.11932699999306351,0.010334381579396952,0.11626681578988944
semeion,0.445,0.44999999999999996,0.1684700000000004,0.16376468770330455,0.2765299999999996,0.28123531229669546,0.010754499991890043,0.11685839999699965,0.010334381579396952,0.11626681578988944
semeion,0.495,0.49999999999999994,0.3118999999999994,0.22923156886020457,0.1831000000000006,0.2657684311397954,0.011850800015963614,0.1186773999943398,0.010334381579396952,0.11626681578988944
semeion,0.545,0.5499999999999999,0.3519066666666658,0.2654051812921582,0.19309333333333423,0.27959481870784186,0.008596899977419525,0.11028209998039529,0.010334381579396952,0.11626681578988944
semeion,0.6,0.6,0.3614933333333324,0.2633586100758404,0.2385066666666676,0.3366413899241596,0.008959500002674758,0.11053130001528189,0.010334381579396952,0.11626681578988944
semeion,0.65,0.65,0.387956666666666,0.2719688116230981,0.262043333333334,0.3780311883769019,0.008879599976353347,0.11125160002848133,0.010334381579396952,0.11626681578988944
semeion,0.7,0.7,0.8418399999999997,0.3400467327837749,0.14183999999999974,0.35995326721622506,0.008794899971690029,0.11093760002404451,0.010334381579396952,0.11626681578988944
semeion,0.75,0.75,0.8203233333333332,0.34821242875429936,0.07032333333333318,0.40178757124570064,0.008701300015673041,0.11242730001686141,0.010334381579396952,0.11626681578988944
semeion,0.8,0.7999999999999999,0.8437466666666663,0.46034312150898754,0.04374666666666627,0.3396568784910125,0.010759799974039197,0.11657380004180595,0.010334381579396952,0.11626681578988944
semeion,0.85,0.85,0.8640666666666654,0.4888977993676985,0.01406666666666545,0.3611022006323015,0.010988100024405867,0.11754639999708161,0.010334381579396952,0.11626681578988944
semeion,0.9,0.9,0.8459099999999994,0.5258171454351075,0.05409000000000064,0.37418285456489253,0.011300600017420948,0.11644369998248294,0.010334381579396952,0.11626681578988944
