dataset,prevalencia_real,erro_moss,erro_dys,n_amostras,var_scores,entropy
1462_banknote-authentication.csv,0.65,0.002178333333331506,0.039000000000000035,100,0.20401896000000005,1.2853746889410074
1462_banknote-authentication.csv,0.7,0.022755333333331906,0.027000000000000024,100,0.18857533333333332,1.525428538970645
1462_banknote-authentication.csv,0.75,0.013549000000002809,0.06700000000000006,100,0.16728926222222223,1.2433475980656117
1462_banknote-authentication.csv,0.8,0.0010479999999961631,0.039999999999999925,100,0.1505537988888889,0.9363889458386461
1462_banknote-authentication.csv,0.85,0.008598666666665311,0.03400000000000003,100,0.11643277777777776,0.8407551218251497
1462_banknote-authentication.csv,0.9,0.008745000000001113,0.038000000000000034,100,0.08613363888888888,0.8997324566214479
1462_banknote-authentication.csv,0.95,0.010300000000003418,0.017000000000000015,100,0.04922030555555554,0.8425660042609276
1466_cardiotocography.csv,0.05,0.01490000000000008,0.009000000000000001,100,0.03596120444444444,0.44191121843301795
1466_cardiotocography.csv,0.1,0.011009999999999437,0.086,100,0.07684816,0.6735054201120023
1466_cardiotocography.csv,0.15,0.012462666666667205,0.11200000000000002,100,0.11643746222222222,0.8502828982332851
1466_cardiotocography.csv,0.2,0.01460200000000128,0.12,100,0.13600851,0.8883308415237425
1466_cardiotocography.csv,0.25,0.013800000000001755,0.10999999999999999,100,0.16290266666666675,0.8975389654208603
1466_cardiotocography.csv,0.3,0.009007999999999627,0.20600000000000002,100,0.18603028777777778,1.091757202571746
1466_cardiotocography.csv,0.35,0.00451866666666767,0.21700000000000008,100,0.20265451,1.093158870863955
1466_cardiotocography.csv,0.4,0.012090000000001877,0.21899999999999997,100,0.20698131,1.2968474834090284
1466_cardiotocography.csv,0.44,0.01484866666666701,0.24000000000000005,100,0.2202116266666667,1.191039849710935
1466_cardiotocography.csv,0.49,0.027951000000000725,0.20900000000000007,100,0.22205976000000002,1.3120629294649073
1466_cardiotocography.csv,0.54,0.0022999999999993026,0.18799999999999994,100,0.21507952333333333,1.4870821774056422
1466_cardiotocography.csv,0.6,0.01008266666666735,0.17500000000000004,100,0.21321810666666663,1.3279399719410763
1466_cardiotocography.csv,0.65,0.005441333333331411,0.17600000000000005,100,0.20218064000000002,1.45797032530425
1466_cardiotocography.csv,0.7,0.011081666666663548,0.16200000000000003,100,0.19093183444444445,1.1727751898433763
1466_cardiotocography.csv,0.75,0.010118666666668497,0.135,100,0.16551608333333337,1.3831776285655588
1466_cardiotocography.csv,0.8,0.011840999999997326,0.10999999999999999,100,0.14654614555555556,1.2198385312199354
1466_cardiotocography.csv,0.85,0.010546333333330105,0.07900000000000007,100,0.11987420444444444,1.2120071938351777
1466_cardiotocography.csv,0.9,0.012008333333334953,0.06399999999999995,100,0.08384482666666669,1.1588018262404236
1466_cardiotocography.csv,0.95,0.010300000000003418,0.03500000000000003,100,0.04813559555555555,1.287431465061227
1466_cardiotocography.csv,0.05,0.008432000000000106,0.021000000000000005,100,0.043319960000000005,0.4855173244495299
1466_cardiotocography.csv,0.1,0.005817999999999421,0.057999999999999996,100,0.08086836,0.6510120143289704
1466_cardiotocography.csv,0.15,0.0122950000000005,0.069,100,0.11702450111111114,0.9036835778639067
1466_cardiotocography.csv,0.2,0.014183666666667982,0.09199999999999997,100,0.14359267111111113,0.8948001150076876
1466_cardiotocography.csv,0.25,0.013800000000001755,0.16500000000000004,100,0.16939373777777778,0.9203489612890787
1466_cardiotocography.csv,0.3,0.013857000000000064,0.17300000000000004,100,0.17961370111111108,1.1788066029576565
