,dataset,prevalencia_real,erro_moss,erro_dys,n_amostras,var_scores,entropy,gap_dys
1119,60_waveform-5000.csv,0.9,0.0201309999999994,0.029,100,0.0643462222222222,2.827731727666784,-0.008869000000000602
1120,60_waveform-5000.csv,0.95,0.0383266666666705,0.05,100,0.0388782877777777,2.62908623956538,-0.011673333333329504
1121,60_waveform-5000.csv,0.05,0.0355656666666667,0.05,100,0.0333044844444444,2.3783430093409943,-0.014434333333333306
1122,60_waveform-5000.csv,0.1,0.0863186666666667,0.1,100,0.0390179233333333,2.4301274800742583,-0.01368133333333331
1123,60_waveform-5000.csv,0.15,0.064851,0.059,100,0.0582737511111111,2.4652294094989644,0.005851000000000009
1124,60_waveform-5000.csv,0.2,0.0155296666666677,0.0289999999999999,100,0.0832508888888889,2.401517227490556,-0.013470333333332201
1125,60_waveform-5000.csv,0.25,0.0461043333333344,0.0229999999999999,100,0.0814391733333333,2.6141388662643115,0.0231043333333345
1126,60_waveform-5000.csv,0.3,0.0984496666666677,0.0669999999999999,100,0.07935884,2.553456430429581,0.03144966666666779
1127,60_waveform-5000.csv,0.35,0.1269026666666678,0.001,100,0.0878973733333333,2.734231258619807,0.1259026666666678
1128,60_waveform-5000.csv,0.4,0.0501720000000006,0.0799999999999999,100,0.0972125822222222,2.8085029087392748,-0.029827999999999306
1129,60_waveform-5000.csv,0.44,0.2032596666666667,0.012,100,0.1010654788888889,2.602546711370606,0.1912596666666667
1130,60_waveform-5000.csv,0.49,0.1603603333333334,0.05,100,0.0968231377777777,2.8180999907356155,0.11036033333333341
1131,60_waveform-5000.csv,0.54,0.2628863333333336,0.022,100,0.0989397455555555,2.750028690808167,0.24088633333333362
1132,60_waveform-5000.csv,0.6,0.2015106666666662,0.056,100,0.0919509722222222,2.744733116654369,0.1455106666666662
1133,60_waveform-5000.csv,0.65,0.180149666666666,0.041,100,0.0927394788888889,2.81769781641387,0.13914966666666598
1134,60_waveform-5000.csv,0.7,0.1248729999999995,0.045,100,0.0920283377777777,2.924574262591835,0.0798729999999995
1135,60_waveform-5000.csv,0.75,0.3470746666666663,0.028,100,0.0832708211111111,2.895595099644135,0.3190746666666663
1136,60_waveform-5000.csv,0.8,0.0690046666666694,0.0429999999999999,100,0.0814510344444444,2.8718578771206444,0.026004666666669507
1137,60_waveform-5000.csv,0.85,0.0226673333333311,0.046,100,0.0692372122222222,2.849111724739509,-0.0233326666666689
1138,60_waveform-5000.csv,0.9,0.0776016666666685,0.0749999999999999,100,0.0538244444444444,2.791487512227864,0.002601666666668598
1139,60_waveform-5000.csv,0.95,0.0168953333333338,0.03,100,0.0500236844444444,2.7138908725919264,-0.013104666666666199
1140,679_rmftsa_sleepdata.csv,0.05,0.1194913333333327,0.0379999999999999,100,0.082151916936769,2.35328484876387,0.0814913333333328
