dataset,prevalencia_real,prev_moss_A,prev_moss_B,erro_moss_A,erro_moss_B,erro_dys,n_amostras,var_scores,entropy
1466_cardiotocography.csv,0.44,0.4325980000000006,0.4316776666666673,0.007401999999999409,0.00832233333333271,0.194,100,0.2194307066666667,1.2641803211751133
1466_cardiotocography.csv,0.49,0.46204899999999927,0.4617979999999993,0.027951000000000725,0.02820200000000067,0.16200000000000003,100,0.21780576,1.287562042401663
1466_cardiotocography.csv,0.54,0.5377000000000007,0.537616333333334,0.0022999999999993026,0.0023836666666660067,0.22199999999999998,100,0.22203188888888892,1.1710846487224156
1466_cardiotocography.csv,0.6,0.6050363333333344,0.6050353333333344,0.00503633333333442,0.005035333333334391,0.16000000000000003,100,0.2178951822222222,1.2440806963463695
1466_cardiotocography.csv,0.65,0.6405426666666694,0.5994166666666684,0.009457333333330653,0.05058333333333165,0.16600000000000004,100,0.2002111944444445,1.4219648205059208
1466_cardiotocography.csv,0.7,0.6884996666666697,0.6880803333333363,0.011500333333330226,0.011919666666663664,0.14300000000000002,100,0.18487186111111112,1.4197376482839876
1466_cardiotocography.csv,0.75,0.7619593333333358,0.761373666666669,0.011959333333335764,0.011373666666668947,0.131,100,0.17004146222222222,1.2480216965989717
1466_cardiotocography.csv,0.8,0.8118409999999974,0.8120079999999975,0.011840999999997326,0.012007999999997465,0.10499999999999998,100,0.14264864,1.3952659612329505
1466_cardiotocography.csv,0.85,0.8395376666666698,0.8396220000000031,0.010462333333330132,0.01037799999999689,0.08600000000000008,100,0.11711392333333333,1.3611005335499802
1466_cardiotocography.csv,0.9,0.8855656666666649,0.8869869999999987,0.014434333333335103,0.013013000000001274,0.05500000000000005,100,0.08121138222222223,1.4212637511695232
1466_cardiotocography.csv,0.95,0.9396999999999965,0.9755820000000026,0.010300000000003418,0.025582000000002658,0.03400000000000003,100,0.045615062222222225,1.1558481931558402
1475_first-order-theorem-proving.csv,0.05,0.10857566666666592,0.10807366666666593,0.058575666666665915,0.05807366666666593,0.046,100,0.06285562769475309,2.399695570240499
1475_first-order-theorem-proving.csv,0.1,0.1338626666666663,0.06437000000000001,0.03386266666666629,0.035629999999999995,0.013999999999999999,100,0.07181182797805491,2.4302097345359037
1475_first-order-theorem-proving.csv,0.15,0.19267699999999888,0.19434899999999902,0.04267699999999888,0.04434899999999903,0.07800000000000001,100,0.09673121941861929,2.547647683212183
1475_first-order-theorem-proving.csv,0.2,0.23275233333333176,0.23057133333333193,0.032752333333331746,0.030571333333331924,0.04899999999999999,100,0.09687679621488413,2.6116512556642575
1475_first-order-theorem-proving.csv,0.25,0.23611533333333162,0.23510866666666497,0.013884666666668377,0.014891333333335033,0.0020000000000000018,100,0.10250733829176116,2.5763273468099577
1475_first-order-theorem-proving.csv,0.3,0.3106639999999991,0.30003466666666595,0.010663999999999119,3.466666666596119e-05,0.07900000000000001,100,0.10036215657376545,2.81839003110302
1475_first-order-theorem-proving.csv,0.35,0.2948510000000002,0.19418933333333313,0.05514899999999978,0.15581066666666685,0.004999999999999949,100,0.10377160297342529,2.785141622077009
1475_first-order-theorem-proving.csv,0.4,0.2844760000000004,0.19276799999999975,0.11552399999999963,0.20723200000000028,0.06,100,0.09531524521445861,2.785283777572374
1475_first-order-theorem-proving.csv,0.44,0.35736066666666655,0.35627099999999945,0.08263933333333345,0.08372900000000055,0.01100000000000001,100,0.10938550959104937,2.7771208635649303
1475_first-order-theorem-proving.csv,0.49,0.41006233333333214,0.412998333333332,0.07993766666666785,0.07700166666666797,0.014999999999999958,100,0.11341556296009166,2.7332178377820435
1475_first-order-theorem-proving.csv,0.54,0.44196900000000044,0.44121566666666695,0.09803099999999959,0.09878433333333309,0.07200000000000001,100,0.11578346455133953,2.824366142134521
1475_first-order-theorem-proving.csv,0.6,0.474515333333332,0.4745153333333321,0.12548466666666797,0.12548466666666785,0.07599999999999996,100,0.10957747977101283,2.791364844699782
1475_first-order-theorem-proving.csv,0.65,0.5979866666666673,0.5965583333333339,0.05201333333333269,0.053441666666666165,0.04400000000000004,100,0.12798976292438274,2.7170072294307013
1475_first-order-theorem-proving.csv,0.7,0.574848,0.5755203333333335,0.12515199999999993,0.12447966666666643,0.1439999999999999,100,0.1131783699744856,2.8116142335726604
1475_first-order-theorem-proving.csv,0.75,0.7095860000000038,0.7125166666666707,0.040413999999996175,0.037483333333329316,0.04500000000000004,100,0.09702307150663618,2.7514431417274325
1475_first-order-theorem-proving.csv,0.8,0.7335190000000001,0.736453000000001,0.0664809999999999,0.06354699999999902,0.06400000000000006,100,0.0969782967926729,2.7674582499187164
1475_first-order-theorem-proving.csv,0.85,0.6712866666666683,0.6710376666666682,0.17871333333333173,0.17896233333333178,0.16599999999999993,100,0.10477307525046102,2.762484800872595
1475_first-order-theorem-proving.csv,0.9,0.7781609999999984,0.778753333333331,0.12183900000000158,0.12124666666666906,0.11399999999999999,100,0.09339825081167509,2.692951487854783
1475_first-order-theorem-proving.csv,0.95,0.7886476666666636,0.7894836666666637,0.16135233333333632,0.16051633333333626,0.1409999999999999,100,0.08448308610550648,2.6945652385507652
1475_first-order-theorem-proving.csv,0.05,0.08439599999999994,0.039821999999999885,0.03439599999999994,0.010178000000000118,0.020000000000000004,100,0.05911130190709877,2.266727159613362
1475_first-order-theorem-proving.csv,0.1,0.08447933333333327,0.03898266666666655,0.015520666666666738,0.06101733333333346,0.044999999999999984,100,0.05699942540469524,2.6173193583343397
1475_first-order-theorem-proving.csv,0.15,0.16698399999999958,0.1271923333333331,0.016983999999999583,0.022807666666666893,0.015000000000000013,100,0.07982453949164563,2.4866724992865925
1475_first-order-theorem-proving.csv,0.2,0.2985346666666666,0.29024733333333314,0.0985346666666666,0.09024733333333312,0.09699999999999998,100,0.11504460243459311,2.620973371014209
1475_first-order-theorem-proving.csv,0.25,0.2613836666666668,0.25744666666666666,0.011383666666666792,0.007446666666666657,0.027000000000000024,100,0.1038367102626543,2.6631778338592955
1475_first-order-theorem-proving.csv,0.3,0.30573599999999934,0.29904099999999934,0.005735999999999353,0.0009590000000006538,0.02400000000000002,100,0.11879460950573822,2.662114275799118
1475_first-order-theorem-proving.csv,0.35,0.24004799999999846,0.2388743333333317,0.10995200000000152,0.11112566666666829,0.11299999999999996,100,0.10366706722813682,2.5812961494670827
1475_first-order-theorem-proving.csv,0.4,0.3679920000000003,0.3607866666666664,0.0320079999999997,0.0392133333333336,0.020000000000000018,100,0.11783563758673102,2.7178499143627675
1475_first-order-theorem-proving.csv,0.44,0.31521433333333204,0.30700699999999886,0.12478566666666796,0.13299300000000114,0.04299999999999998,100,0.10086981272719461,2.8298193735779087
1475_first-order-theorem-proving.csv,0.49,0.43678100000000086,0.4351080000000007,0.05321899999999913,0.054891999999999275,0.061,100,0.1277563484563555,2.6453772499781514
1475_first-order-theorem-proving.csv,0.54,0.494548,0.4913669999999999,0.04545200000000005,0.04863300000000015,0.02200000000000002,100,0.12016929589223356,2.8163324067315747
1475_first-order-theorem-proving.csv,0.6,0.48901766666666635,0.4808099999999996,0.11098233333333363,0.11919000000000035,0.06999999999999995,100,0.10385832482802554,2.8835141672467137
1475_first-order-theorem-proving.csv,0.65,0.5501663333333342,0.545983000000001,0.09983366666666582,0.10401699999999903,0.062000000000000055,100,0.10014834678464567,2.902177396432802
1475_first-order-theorem-proving.csv,0.7,0.6441453333333356,0.6431416666666684,0.05585466666666439,0.05685833333333157,0.050999999999999934,100,0.11263812011604149,2.8335062504395347
1475_first-order-theorem-proving.csv,0.75,0.5717653333333339,0.5677496666666674,0.1782346666666661,0.18225033333333263,0.14400000000000002,100,0.1026149837750706,2.8028632209718323
1475_first-order-theorem-proving.csv,0.8,0.7321736666666658,0.7855286666666661,0.06782633333333421,0.014471333333333947,0.062000000000000055,100,0.09755277352355694,2.7318334083998748
1475_first-order-theorem-proving.csv,0.85,0.7358823333333345,0.7249950000000018,0.11411766666666545,0.12500499999999815,0.10999999999999999,100,0.10015894787788328,2.735644166687008
1475_first-order-theorem-proving.csv,0.9,0.7950926666666642,0.7950929999999975,0.1049073333333358,0.10490700000000253,0.07399999999999995,100,0.09016539908904006,2.484882968306307
1475_first-order-theorem-proving.csv,0.95,0.7484496666666679,0.8076569999999998,0.20155033333333205,0.1423430000000001,0.11999999999999988,100,0.08784496489957165,2.6563430357644835
1479_hill-valley.csv,0.05,0.016447333333333213,0.02155299999999989,0.033552666666666786,0.02844700000000011,0.029,100,0.051630998888888884,2.7697151984327872
1479_hill-valley.csv,0.1,0.015607333333333223,0.019375999999999893,0.08439266666666678,0.08062400000000011,0.091,100,0.04688855444444446,2.7588001642366424
1479_hill-valley.csv,0.15,0.012259333333333233,0.016614333333333224,0.13774066666666676,0.13338566666666676,0.263,100,0.04142363888888889,2.6781375401477834
1479_hill-valley.csv,0.2,0.013767666666666567,0.019962333333333224,0.18623233333333344,0.1800376666666668,0.064,100,0.049450493333333324,2.746719488402366
1479_hill-valley.csv,0.25,0.014354333333333228,0.02063199999999989,0.23564566666666678,0.2293680000000001,0.09400000000000003,100,0.04905196777777778,2.7918360528224664
1479_hill-valley.csv,0.3,0.017197999999999887,0.021218333333333218,0.2828020000000001,0.27878166666666676,0.3,100,0.04857868777777778,2.7889227574360693
1479_hill-valley.csv,0.35,0.33524500000000074,0.3335633333333338,0.014754999999999241,0.016436666666666155,0.14700000000000002,100,0.04809744333333334,2.9077645538072834
1479_hill-valley.csv,0.4,0.9882423333333372,0.9812820000000022,0.5882423333333372,0.5812820000000022,0.265,100,0.04230499888888889,2.7087778669981506
1479_hill-valley.csv,0.44,0.36137633333333385,0.35986233333333373,0.07862366666666615,0.08013766666666627,0.05299999999999999,100,0.04597028777777777,2.761523875395911
1479_hill-valley.csv,0.49,0.01376766666666656,0.02708033333333322,0.4762323333333334,0.4629196666666668,0.10299999999999998,100,0.05518832333333333,2.923481017819996
1479_hill-valley.csv,0.54,0.36950066666666725,0.3696643333333338,0.17049933333333278,0.17033566666666622,0.22499999999999998,100,0.035963848888888886,2.80418800588493
1479_hill-valley.csv,0.6,0.5551986666666665,0.5540203333333334,0.04480133333333347,0.04597966666666653,0.10599999999999998,100,0.041742750000000016,2.7746861181881175
1479_hill-valley.csv,0.65,0.013683333333333225,0.021970999999999893,0.6363166666666668,0.6280290000000002,0.34700000000000003,100,0.05377386111111111,2.877109776869768
1479_hill-valley.csv,0.7,0.49673333333333364,0.4927926666666672,0.20326666666666632,0.20720733333333274,0.18599999999999994,100,0.03935121222222222,2.706802753654336
1479_hill-valley.csv,0.75,0.5555333333333337,0.554018666666667,0.19446666666666634,0.195981333333333,0.126,100,0.04793037666666667,2.7875156484025636
1479_hill-valley.csv,0.8,0.37008733333333377,0.371252666666667,0.4299126666666663,0.42874733333333304,0.44500000000000006,100,0.050840083333333334,2.8106889358888028
1479_hill-valley.csv,0.85,0.9875723333333369,0.9785170000000022,0.13757233333333696,0.1285170000000022,0.125,100,0.044440426666666664,2.877220766583785
